RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,118747,2024-02-14 03:41:26.4441194,22,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,3028,4452,DESKTOP-887GK2L,0,S-1-5-18,DNSEvent (DNS query),DESKTOP-887GK2L\CyberJunkie,,"ProcessID: 4292, ProcessGUID: 817bddf3-3514-65cc-0802-000000001900",RuleName: -,Image: C:\Program Files\Mozilla Firefox\firefox.exe,QueryName: uc2f030016253ec53f4953980a4e.dl.dropboxusercontent.com,QueryStatus: 0,QueryResults: type:  5 edge-block-www-env.dropbox-dns.com;::ffff:162.125.81.15;198.51.44.6;2620:4d:4000:6259:7:6:0:1;198.51.45.6;2a00:edc0:6259:7:6::2;198.51.44.70;2620:4d:4000:6259:7:6:0:3;198.51.45.70;2a00:edc0:6259:7:6::4;,,False,C:\DFIR\Cases\unit42\Microsoft-Windows-Sysmon-Operational.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2024-02-14 03:41:25.269""},{""@Name"":""ProcessGuid"",""#text"":""817bddf3-3514-65cc-0802-000000001900""},{""@Name"":""ProcessId"",""#text"":""4292""},{""@Name"":""QueryName"",""#text"":""uc2f030016253ec53f4953980a4e.dl.dropboxusercontent.com""},{""@Name"":""QueryStatus"",""#text"":""0""},{""@Name"":""QueryResults"",""#text"":""type:  5 edge-block-www-env.dropbox-dns.com;::ffff:162.125.81.15;198.51.44.6;2620:4d:4000:6259:7:6:0:1;198.51.45.6;2a00:edc0:6259:7:6::2;198.51.44.70;2620:4d:4000:6259:7:6:0:3;198.51.45.70;2a00:edc0:6259:7:6::4;""},{""@Name"":""Image"",""#text"":""C:\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""User"",""#text"":""DESKTOP-887GK2L\\CyberJunkie""}]}}"
2,118748,2024-02-14 03:41:26.4630328,11,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,3028,4412,DESKTOP-887GK2L,0,S-1-5-18,FileCreate,DESKTOP-887GK2L\CyberJunkie,,"ProcessID: 4292, ProcessGUID: 817bddf3-3514-65cc-0802-000000001900",RuleName: -,Image: C:\Program Files\Mozilla Firefox\firefox.exe,TargetFilename: C:\Users\CYBERJ~1\AppData\Local\Temp\skZdsnwf.exe,,,,False,C:\DFIR\Cases\unit42\Microsoft-Windows-Sysmon-Operational.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2024-02-14 03:41:26.459""},{""@Name"":""ProcessGuid"",""#text"":""817bddf3-3514-65cc-0802-000000001900""},{""@Name"":""ProcessId"",""#text"":""4292""},{""@Name"":""Image"",""#text"":""C:\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Users\\CYBERJ~1\\AppData\\Local\\Temp\\skZdsnwf.exe""},{""@Name"":""CreationUtcTime"",""#text"":""2024-02-14 03:41:26.459""},{""@Name"":""User"",""#text"":""DESKTOP-887GK2L\\CyberJunkie""}]}}"
3,118749,2024-02-14 03:41:26.4635006,11,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,3028,4412,DESKTOP-887GK2L,0,S-1-5-18,FileCreate,DESKTOP-887GK2L\CyberJunkie,,"ProcessID: 4292, ProcessGUID: 817bddf3-3514-65cc-0802-000000001900",RuleName: -,Image: C:\Program Files\Mozilla Firefox\firefox.exe,TargetFilename: C:\Users\CyberJunkie\Downloads\skZdsnwf.exe.part,,,,False,C:\DFIR\Cases\unit42\Microsoft-Windows-Sysmon-Operational.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2024-02-14 03:41:26.459""},{""@Name"":""ProcessGuid"",""#text"":""817bddf3-3514-65cc-0802-000000001900""},{""@Name"":""ProcessId"",""#text"":""4292""},{""@Name"":""Image"",""#text"":""C:\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Users\\CyberJunkie\\Downloads\\skZdsnwf.exe.part""},{""@Name"":""CreationUtcTime"",""#text"":""2024-02-14 03:41:26.459""},{""@Name"":""User"",""#text"":""DESKTOP-887GK2L\\CyberJunkie""}]}}"
4,118750,2024-02-14 03:41:26.4639086,26,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,3028,4412,DESKTOP-887GK2L,0,S-1-5-18,FileDeleteDetected (A file delete was detected),DESKTOP-887GK2L\CyberJunkie,,"ProcessID: 4292, ProcessGUID: 817bddf3-3514-65cc-0802-000000001900",RuleName: -,"SHA1=DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,MD5=D41D8CD98F00B204E9800998ECF8427E,SHA256=E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,IMPHASH=00000000000000000000000000000000",TargetFilename: C:\Users\CyberJunkie\Downloads\skZdsnwf.exe.part,IsExecutable: False,"Archived: ",C:\Program Files\Mozilla Firefox\firefox.exe,False,C:\DFIR\Cases\unit42\Microsoft-Windows-Sysmon-Operational.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2024-02-14 03:41:26.459""},{""@Name"":""ProcessGuid"",""#text"":""817bddf3-3514-65cc-0802-000000001900""},{""@Name"":""ProcessId"",""#text"":""4292""},{""@Name"":""User"",""#text"":""DESKTOP-887GK2L\\CyberJunkie""},{""@Name"":""Image"",""#text"":""C:\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Users\\CyberJunkie\\Downloads\\skZdsnwf.exe.part""},{""@Name"":""Hashes"",""#text"":""SHA1=DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,MD5=D41D8CD98F00B204E9800998ECF8427E,SHA256=E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,IMPHASH=00000000000000000000000000000000""},{""@Name"":""IsExecutable"",""#text"":""False""}]}}"
5,118751,2024-02-14 03:41:26.4639993,11,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,3028,4412,DESKTOP-887GK2L,0,S-1-5-18,FileCreate,DESKTOP-887GK2L\CyberJunkie,,"ProcessID: 4292, ProcessGUID: 817bddf3-3514-65cc-0802-000000001900",RuleName: -,Image: C:\Program Files\Mozilla Firefox\firefox.exe,TargetFilename: C:\Users\CyberJunkie\Downloads\skZdsnwf.exe.part,,,,False,C:\DFIR\Cases\unit42\Microsoft-Windows-Sysmon-Operational.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2024-02-14 03:41:26.459""},{""@Name"":""ProcessGuid"",""#text"":""817bddf3-3514-65cc-0802-000000001900""},{""@Name"":""ProcessId"",""#text"":""4292""},{""@Name"":""Image"",""#text"":""C:\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Users\\CyberJunkie\\Downloads\\skZdsnwf.exe.part""},{""@Name"":""CreationUtcTime"",""#text"":""2024-02-14 03:41:26.459""},{""@Name"":""User"",""#text"":""DESKTOP-887GK2L\\CyberJunkie""}]}}"
6,118752,2024-02-14 03:41:26.4644853,11,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,3028,4412,DESKTOP-887GK2L,0,S-1-5-18,FileCreate,DESKTOP-887GK2L\CyberJunkie,,"ProcessID: 4292, ProcessGUID: 817bddf3-3514-65cc-0802-000000001900",RuleName: -,Image: C:\Program Files\Mozilla Firefox\firefox.exe,TargetFilename: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe,,,,False,C:\DFIR\Cases\unit42\Microsoft-Windows-Sysmon-Operational.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2024-02-14 03:41:26.459""},{""@Name"":""ProcessGuid"",""#text"":""817bddf3-3514-65cc-0802-000000001900""},{""@Name"":""ProcessId"",""#text"":""4292""},{""@Name"":""Image"",""#text"":""C:\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Users\\CyberJunkie\\Downloads\\Preventivo24.02.14.exe.exe""},{""@Name"":""CreationUtcTime"",""#text"":""2024-02-14 03:41:26.459""},{""@Name"":""User"",""#text"":""DESKTOP-887GK2L\\CyberJunkie""}]}}"
7,118753,2024-02-14 03:41:30.4743455,15,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,3028,4412,DESKTOP-887GK2L,0,S-1-5-18,FileCreateStreamHash,DESKTOP-887GK2L\CyberJunkie,,"ProcessID: 4292, ProcessGUID: 817bddf3-3514-65cc-0802-000000001900",RuleName: -,Image: C:\Program Files\Mozilla Firefox\firefox.exe,TargetFilename: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe,"Hash: SHA1=18A24AA0AC052D31FC5B56F5C0187041174FFC61,MD5=32F35B78A3DC5949CE3C99F2981DEF6B,SHA256=0CB44C4F8273750FA40497FCA81E850F73927E70B13C8F80CDCFEE9D1478E6F3,IMPHASH=36ACA8EDDDB161C588FCF5AFDC1AD9FA",,,False,C:\DFIR\Cases\unit42\Microsoft-Windows-Sysmon-Operational.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2024-02-14 03:41:30.441""},{""@Name"":""ProcessGuid"",""#text"":""817bddf3-3514-65cc-0802-000000001900""},{""@Name"":""ProcessId"",""#text"":""4292""},{""@Name"":""Image"",""#text"":""C:\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Users\\CyberJunkie\\Downloads\\Preventivo24.02.14.exe.exe""},{""@Name"":""CreationUtcTime"",""#text"":""2024-02-14 03:41:26.459""},{""@Name"":""Hash"",""#text"":""SHA1=18A24AA0AC052D31FC5B56F5C0187041174FFC61,MD5=32F35B78A3DC5949CE3C99F2981DEF6B,SHA256=0CB44C4F8273750FA40497FCA81E850F73927E70B13C8F80CDCFEE9D1478E6F3,IMPHASH=36ACA8EDDDB161C588FCF5AFDC1AD9FA""},{""@Name"":""Contents"",""#text"":""-""},{""@Name"":""User"",""#text"":""DESKTOP-887GK2L\\CyberJunkie""}]}}"
8,118754,2024-02-14 03:41:30.4745302,11,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,3028,4412,DESKTOP-887GK2L,0,S-1-5-18,FileCreate,DESKTOP-887GK2L\CyberJunkie,,"ProcessID: 4292, ProcessGUID: 817bddf3-3514-65cc-0802-000000001900",RuleName: -,Image: C:\Program Files\Mozilla Firefox\firefox.exe,TargetFilename: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe:Zone.Identifier,,,,False,C:\DFIR\Cases\unit42\Microsoft-Windows-Sysmon-Operational.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2024-02-14 03:41:30.472""},{""@Name"":""ProcessGuid"",""#text"":""817bddf3-3514-65cc-0802-000000001900""},{""@Name"":""ProcessId"",""#text"":""4292""},{""@Name"":""Image"",""#text"":""C:\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Users\\CyberJunkie\\Downloads\\Preventivo24.02.14.exe.exe:Zone.Identifier""},{""@Name"":""CreationUtcTime"",""#text"":""2024-02-14 03:41:26.459""},{""@Name"":""User"",""#text"":""DESKTOP-887GK2L\\CyberJunkie""}]}}"
9,118755,2024-02-14 03:41:30.4749867,15,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,3028,4412,DESKTOP-887GK2L,0,S-1-5-18,FileCreateStreamHash,DESKTOP-887GK2L\CyberJunkie,,"ProcessID: 4292, ProcessGUID: 817bddf3-3514-65cc-0802-000000001900","RuleName: technique_id=T1189,technique_name=Drive-by Compromise",Image: C:\Program Files\Mozilla Firefox\firefox.exe,TargetFilename: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe:Zone.Identifier,"Hash: SHA1=2CFE549E8DEB113DFAD2E7702637C1772ACFDBE6,MD5=41F87E73FBAEA5D3B335EBC3B3B70FAE,SHA256=5607425CF7DCB090216F4531D099FD780193899383CBB3441017E3615E03068B,IMPHASH=00000000000000000000000000000000",,,False,C:\DFIR\Cases\unit42\Microsoft-Windows-Sysmon-Operational.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1189,technique_name=Drive-by Compromise""},{""@Name"":""UtcTime"",""#text"":""2024-02-14 03:41:30.472""},{""@Name"":""ProcessGuid"",""#text"":""817bddf3-3514-65cc-0802-000000001900""},{""@Name"":""ProcessId"",""#text"":""4292""},{""@Name"":""Image"",""#text"":""C:\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Users\\CyberJunkie\\Downloads\\Preventivo24.02.14.exe.exe:Zone.Identifier""},{""@Name"":""CreationUtcTime"",""#text"":""2024-02-14 03:41:26.459""},{""@Name"":""Hash"",""#text"":""SHA1=2CFE549E8DEB113DFAD2E7702637C1772ACFDBE6,MD5=41F87E73FBAEA5D3B335EBC3B3B70FAE,SHA256=5607425CF7DCB090216F4531D099FD780193899383CBB3441017E3615E03068B,IMPHASH=00000000000000000000000000000000""},{""@Name"":""Contents"",""#text"":""[ZoneTransfer]  ZoneId=3  ReferrerUrl=https://www.dropbox.com/  HostUrl=https://uc2f030016253ec53f4953980a4e.dl.dropboxusercontent.com/cd/0/get/CNNlOCYTD8cqLXFQzXaeYHRkHg_PoR35Et2T0_IkqE5ijvkTAQNljV7ZkK2fLXWI2bJy944RnwKttvmNWpVd5olpBcffnvnL_IfEjzr65jZZUOxtWA9rSgJ1jc91IZILHVAJHgRhjpZYLtGo83_QbeInB7x2oEAoYg-JLF54zbhziQ/file#  ""},{""@Name"":""User"",""#text"":""DESKTOP-887GK2L\\CyberJunkie""}]}}"
10,118756,2024-02-14 03:41:37.9685238,11,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,3028,4412,DESKTOP-887GK2L,0,S-1-5-18,FileCreate,NT AUTHORITY\SYSTEM,,"ProcessID: 1668, ProcessGUID: 817bddf3-307d-65cc-2200-000000001900","RuleName: technique_id=T1574.010,technique_name=Services File Permissions Weakness",Image: C:\Windows\system32\svchost.exe,TargetFilename: C:\Windows\Prefetch\SEARCHFILTERHOST.EXE-44162447.pf,,,,False,C:\DFIR\Cases\unit42\Microsoft-Windows-Sysmon-Operational.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1574.010,technique_name=Services File Permissions Weakness""},{""@Name"":""UtcTime"",""#text"":""2024-02-14 03:41:37.967""},{""@Name"":""ProcessGuid"",""#text"":""817bddf3-307d-65cc-2200-000000001900""},{""@Name"":""ProcessId"",""#text"":""1668""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\svchost.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Windows\\Prefetch\\SEARCHFILTERHOST.EXE-44162447.pf""},{""@Name"":""CreationUtcTime"",""#text"":""2023-02-01 00:59:18.274""},{""@Name"":""User"",""#text"":""NT AUTHORITY\\SYSTEM""}]}}"
11,118757,2024-02-14 03:41:45.1934373,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,3028,4412,DESKTOP-887GK2L,0,S-1-5-18,RegistryEvent (Value Set),DESKTOP-887GK2L\CyberJunkie,,"ProcessID: 4152, ProcessGUID: 817bddf3-3516-65cc-0f02-000000001900","RuleName: technique_id=T1543,technique_name=Service Creation",Image: C:\Program Files\Mozilla Firefox\firefox.exe,EventType: SetValue,TargetObject: HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-3393683511-3463148672-371912004-1001\\Device\HarddiskVolume3\Program Files\Mozilla Firefox\firefox.exe,Details: Binary Data,,False,C:\DFIR\Cases\unit42\Microsoft-Windows-Sysmon-Operational.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1543,technique_name=Service Creation""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2024-02-14 03:41:45.180""},{""@Name"":""ProcessGuid"",""#text"":""817bddf3-3516-65cc-0f02-000000001900""},{""@Name"":""ProcessId"",""#text"":""4152""},{""@Name"":""Image"",""#text"":""C:\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Services\\bam\\State\\UserSettings\\S-1-5-21-3393683511-3463148672-371912004-1001\\\\Device\\HarddiskVolume3\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""Details"",""#text"":""Binary Data""},{""@Name"":""User"",""#text"":""DESKTOP-887GK2L\\CyberJunkie""}]}}"
12,118758,2024-02-14 03:41:45.1937633,17,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,3028,4412,DESKTOP-887GK2L,0,S-1-5-18,PipeEvent (Pipe Created),DESKTOP-887GK2L\CyberJunkie,,"ProcessID: 4292, ProcessGUID: 817bddf3-3514-65cc-0802-000000001900",PipeName: \gecko.4292.836.5832889297430034854,,,Image: C:\Program Files\Mozilla Firefox\firefox.exe,,,False,C:\DFIR\Cases\unit42\Microsoft-Windows-Sysmon-Operational.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""EventType"",""#text"":""CreatePipe""},{""@Name"":""UtcTime"",""#text"":""2024-02-14 03:41:45.180""},{""@Name"":""ProcessGuid"",""#text"":""817bddf3-3514-65cc-0802-000000001900""},{""@Name"":""ProcessId"",""#text"":""4292""},{""@Name"":""PipeName"",""#text"":""\\gecko.4292.836.5832889297430034854""},{""@Name"":""Image"",""#text"":""C:\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""User"",""#text"":""DESKTOP-887GK2L\\CyberJunkie""}]}}"
13,118759,2024-02-14 03:41:45.1950474,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,3028,4412,DESKTOP-887GK2L,0,S-1-5-18,RegistryEvent (Value Set),DESKTOP-887GK2L\CyberJunkie,,"ProcessID: 11120, ProcessGUID: 817bddf3-3515-65cc-0c02-000000001900","RuleName: technique_id=T1543,technique_name=Service Creation",Image: C:\Program Files\Mozilla Firefox\firefox.exe,EventType: SetValue,TargetObject: HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-3393683511-3463148672-371912004-1001\\Device\HarddiskVolume3\Program Files\Mozilla Firefox\firefox.exe,Details: Binary Data,,False,C:\DFIR\Cases\unit42\Microsoft-Windows-Sysmon-Operational.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1543,technique_name=Service Creation""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2024-02-14 03:41:45.180""},{""@Name"":""ProcessGuid"",""#text"":""817bddf3-3515-65cc-0c02-000000001900""},{""@Name"":""ProcessId"",""#text"":""11120""},{""@Name"":""Image"",""#text"":""C:\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Services\\bam\\State\\UserSettings\\S-1-5-21-3393683511-3463148672-371912004-1001\\\\Device\\HarddiskVolume3\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""Details"",""#text"":""Binary Data""},{""@Name"":""User"",""#text"":""DESKTOP-887GK2L\\CyberJunkie""}]}}"
14,118760,2024-02-14 03:41:45.1954966,17,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,3028,4412,DESKTOP-887GK2L,0,S-1-5-18,PipeEvent (Pipe Created),DESKTOP-887GK2L\CyberJunkie,,"ProcessID: 4292, ProcessGUID: 817bddf3-3514-65cc-0802-000000001900",PipeName: \gecko.4292.836.11904995371982344805,,,Image: C:\Program Files\Mozilla Firefox\firefox.exe,,,False,C:\DFIR\Cases\unit42\Microsoft-Windows-Sysmon-Operational.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""EventType"",""#text"":""CreatePipe""},{""@Name"":""UtcTime"",""#text"":""2024-02-14 03:41:45.180""},{""@Name"":""ProcessGuid"",""#text"":""817bddf3-3514-65cc-0802-000000001900""},{""@Name"":""ProcessId"",""#text"":""4292""},{""@Name"":""PipeName"",""#text"":""\\gecko.4292.836.11904995371982344805""},{""@Name"":""Image"",""#text"":""C:\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""User"",""#text"":""DESKTOP-887GK2L\\CyberJunkie""}]}}"
15,118761,2024-02-14 03:41:45.2125243,11,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,3028,4412,DESKTOP-887GK2L,0,S-1-5-18,FileCreate,DESKTOP-887GK2L\CyberJunkie,,"ProcessID: 4292, ProcessGUID: 817bddf3-3514-65cc-0802-000000001900","RuleName: technique_id=T1059.007,technique_name=JavaScript",Image: C:\Program Files\Mozilla Firefox\firefox.exe,TargetFilename: C:\Users\CyberJunkie\AppData\Roaming\Mozilla\Firefox\Profiles\avsa4d81.default-release\prefs-1.js,,,,False,C:\DFIR\Cases\unit42\Microsoft-Windows-Sysmon-Operational.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1059.007,technique_name=JavaScript""},{""@Name"":""UtcTime"",""#text"":""2024-02-14 03:41:45.211""},{""@Name"":""ProcessGuid"",""#text"":""817bddf3-3514-65cc-0802-000000001900""},{""@Name"":""ProcessId"",""#text"":""4292""},{""@Name"":""Image"",""#text"":""C:\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Users\\CyberJunkie\\AppData\\Roaming\\Mozilla\\Firefox\\Profiles\\avsa4d81.default-release\\prefs-1.js""},{""@Name"":""CreationUtcTime"",""#text"":""2024-02-14 03:41:45.211""},{""@Name"":""User"",""#text"":""DESKTOP-887GK2L\\CyberJunkie""}]}}"
16,118762,2024-02-14 03:41:45.2132830,23,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,3028,4412,DESKTOP-887GK2L,0,S-1-5-18,FileDelete (A file delete was detected),DESKTOP-887GK2L\CyberJunkie,,"ProcessID: 4292, ProcessGUID: 817bddf3-3514-65cc-0802-000000001900",RuleName: Scripts and payloads,"SHA1=DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,MD5=D41D8CD98F00B204E9800998ECF8427E,SHA256=E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,IMPHASH=00000000000000000000000000000000",TargetFilename: C:\Users\CyberJunkie\AppData\Roaming\Mozilla\Firefox\Profiles\avsa4d81.default-release\prefs-1.js,IsExecutable: False,Archived: true,C:\Program Files\Mozilla Firefox\firefox.exe,False,C:\DFIR\Cases\unit42\Microsoft-Windows-Sysmon-Operational.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""Scripts and payloads""},{""@Name"":""UtcTime"",""#text"":""2024-02-14 03:41:45.211""},{""@Name"":""ProcessGuid"",""#text"":""817bddf3-3514-65cc-0802-000000001900""},{""@Name"":""ProcessId"",""#text"":""4292""},{""@Name"":""User"",""#text"":""DESKTOP-887GK2L\\CyberJunkie""},{""@Name"":""Image"",""#text"":""C:\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Users\\CyberJunkie\\AppData\\Roaming\\Mozilla\\Firefox\\Profiles\\avsa4d81.default-release\\prefs-1.js""},{""@Name"":""Hashes"",""#text"":""SHA1=DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,MD5=D41D8CD98F00B204E9800998ECF8427E,SHA256=E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,IMPHASH=00000000000000000000000000000000""},{""@Name"":""IsExecutable"",""#text"":""False""},{""@Name"":""Archived"",""#text"":""true""}]}}"
17,118763,2024-02-14 03:41:45.2136161,11,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,3028,4412,DESKTOP-887GK2L,0,S-1-5-18,FileCreate,DESKTOP-887GK2L\CyberJunkie,,"ProcessID: 4292, ProcessGUID: 817bddf3-3514-65cc-0802-000000001900","RuleName: technique_id=T1059.007,technique_name=JavaScript",Image: C:\Program Files\Mozilla Firefox\firefox.exe,TargetFilename: C:\Users\CyberJunkie\AppData\Roaming\Mozilla\Firefox\Profiles\avsa4d81.default-release\prefs-1.js,,,,False,C:\DFIR\Cases\unit42\Microsoft-Windows-Sysmon-Operational.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1059.007,technique_name=JavaScript""},{""@Name"":""UtcTime"",""#text"":""2024-02-14 03:41:45.211""},{""@Name"":""ProcessGuid"",""#text"":""817bddf3-3514-65cc-0802-000000001900""},{""@Name"":""ProcessId"",""#text"":""4292""},{""@Name"":""Image"",""#text"":""C:\\Program Files\\Mozilla Firefox\\firefox.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Users\\CyberJunkie\\AppData\\Roaming\\Mozilla\\Firefox\\Profiles\\avsa4d81.default-release\\prefs-1.js""},{""@Name"":""CreationUtcTime"",""#text"":""2024-02-14 03:41:45.211""},{""@Name"":""User"",""#text"":""DESKTOP-887GK2L\\CyberJunkie""}]}}"
